Symbol,marketCap
GREENLAM,680734.07
VRLLOG,680642.46
MTARTECH,679264.05
NEULANDLAB,678880.75
POWERMECH,677466.00
GOCOLORS,676030.45
ZENTEC,667815.69
NETWEB,665799.67
SIS,662082.07
VOLTAMP,659696.93
ELECTCAST,658228.01
BECTORFOOD,657579.36
VAIBHAVGBL,656754.38
TEXRAIL,656083.45
SUNTECK,652664.44
RSYSTEMS,649604.22
REDTAPE,649548.93
IWEL,645930.63
FDC,645460.58
EPL,642903.30
SHRIPISTON,641365.44
TCI,639076.37
THOMASCOOK,639011.99
BLUEJET,638526.23
NAVA,635903.55
HNDFDS,631810.03
MOIL,628769.30
NESCO,621950.07
PGEL,617720.97
SYMPHONY,612823.32
WOCKPHARMA,611494.60
ICIL,609710.29
SHAREINDIA,609200.07
INDIASHLTR,608746.28
JINDWORLD,608378.89
TATACOFFEE,599159.35
CMSINFO,598810.80
GENUSPOWER,597719.91
INFIBEAM,597350.60
STAR,596533.26
NIITMTS,591753.35
UTKARSHBNK,591151.85
TIIL,582515.04
FUSION,582301.67
BORORENEW,574213.77
ASKAUTOLTD,572699.25
ASTRAMICRO,572613.34
AVANTIFEED,572299.77
JSWHL,570814.87
GUJALKALI,570485.92
STLTECH,569844.92
NAZARA,566880.36
GABRIEL,564664.33
SUPRAJIT,562803.85
PTC,562563.81
DBL,562488.99
SOUTHBANK,558761.85
GHCL,555353.42
RBA,554802.34
PARADEEP,552800.72
HGINFRA,552357.75
ICRA,552026.29
RAMKY,547908.11
KESORAMIND,547503.22
SANSERA,546012.51
ARVINDFASN,545213.06
SENCO,541040.38
AURIONPRO,540176.51
TEAMLEASE,536277.81
CYIENTDLM,535118.07
AGI,534465.06
KPIGREEN,530392.92
HEIDELBERG,527328.72
TCIEXP,526882.91
VSTIND,526067.61
GREENPANEL,525090.51
DODLA,522465.20
AHLUCONT,519488.53
RAIN,518981.38
GATEWAY,518630.30
ORIENTCEM,514425.46
ETHOSLTD,511335.25
HCG,509065.79
FEDFINA,502377.20
GOKEX,500920.69
PRUDENT,498080.95
ITDCEM,490711.23
BBOX,488854.27
JPASSOCIAT,486009.94
RALLIS,485880.52
ORIENTELEC,484233.91
RTNPOWER,483309.53
DHANUKA,481762.88
WSTCSTPAPR,481760.73
WONDERLA,476941.37
DBCORP,475996.84
MASFIN,475423.12
LLOYDSENGG,472773.98
IBREALEST,472070.05
KKCL,472048.92
MSTCLTD,471116.80
TINPLATE,470585.70
PATELENG,465330.76
TI,463537.45
PRICOLLTD,462966.87
SHANTIGEAR,460678.70
HGS,460364.74
PRIVISCL,459475.08
CHOICEIN,458003.98
AARTIPHARM,457162.90
BANCOINDIA,457111.45
MAXESTATES,456558.49
NOCIL,455859.33
JAYNECOIND,454912.68
WELENT,451575.06
AARTIDRUGS,449746.02
IIFLSEC,449184.49
NFL,448879.24
JAMNAAUTO,445495.22
PURVA,443232.76
ROSSARI,441423.42
TIPSINDLTD,439090.51
JKIL,436816.97
HEMIPROP,436620.00
GALLANTT,433823.14
HCC,432726.08
MUTHOOTMF,428191.10
DATAMATICS,427336.69
ORISSAMINE,425637.00
JISLJALEQS,423508.17
KALAMANDIR,421756.81
SULA,420732.15
HMAAGRO,420646.61
ADVENZYMES,419731.67
IPL,419310.33
SINDHUTRAD,416320.77
DCBBANK,414644.30
PAISALO,414447.30
AMIORG,413799.91
LAOPALA,412476.00
THANGAMAYL,409213.97
AZAD,409091.47
SHARDACROP,408518.40
SSWL,406760.81
TDPOWERSYS,406120.35
JTLIND,406021.51
EPIGRAL,405965.82
TIMETECHNO,400983.66
TARC,400445.73
FCL,400134.04
VMART,396462.00
RAJRATAN,396216.88
LGBBROSLTD,394995.07
NUCLEUS,393099.33
LUXIND,390931.85
ASHOKA,390907.08
DELTACORP,390811.92
BCG,390467.88
NEOGEN,390461.97
WABAG,390431.51
KIRLPNU,390087.07
SHARDAMOTR,388458.61
JTEKTINDIA,388112.74
ITDC,386948.65
BOROLTD,386084.37
ASHAPURMIN,385156.47
IFBIND,380653.83
SUDARSCHEM,380057.60
SUNFLAG,377289.41
HATHWAY,375262.15
HIKAL,374772.63
TATVA,374693.94
BALMLAWRIE,374241.92
BHARATRAS,374138.25
KOLTEPATIL,371357.54
HLEGLAS,368565.33
HINDWAREAP,367916.35
FLAIR,367460.99
INDOCO,364178.20
SAMHI,362919.80
AVALON,361719.41
ORCHPHARMA,361373.62
HARSHA,357894.38
KDDL,356254.72
BAJAJHIND,355106.06
SANGHVIMOV,354095.84
ESAFSFB,353653.76
SUBROS,353479.91
PILANIINVS,352806.17
GULFOILLUB,352562.82
GREAVESCOT,352523.95
EMUDHRA,352496.76
IDEAFORGE,350450.50
KIRLOSIND,349405.26
UFLEX,348709.27
GANESHHOUC,347348.92
DYNAMATECH,347232.90
MAITHANALL,346631.23
TVSSRICHAK,346420.26
LANDMARK,342989.29
KSCL,342577.12
NAVNETEDUL,341808.12
TASTYBITE,341507.66
